date,city,NO2,O3,SO2
1/1/2025,tehran,50,12,30
1/2/2025,tehran,55,31,40
1/3/2025,tehran,45,30,38
1/4/2025,tehran,60,29,27
1/5/2025,tehran,46,37,26
1/6/2025,tehran,35,32,42
1/7/2025,tehran,34,21,51
1/8/2025,tehran,65,24,20
1/9/2025,tehran,67,,39
1/10/2025,tehran,47,15,47
1/11/2025,tehran,38,28,27
1/12/2025,tehran,49,24,32
1/13/2025,tehran,35,19,46
1/14/2025,tehran,62,17,28
1/15/2025,tehran,58,32,39
1/16/2025,tehran,54,34,49
1/17/2025,tehran,48,12,54
1/18/2025,tehran,45,23,19
1/19/2025,tehran,41,20,34
1/20/2025,tehran,39,18,43
